type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,nameOrig,nameDest,bankOrig,bankDest
TRANSFER,1086782.27,0.0,0.0,4334991.17,5421773.44,C1260349918,C897735701,Access,GT
PAYMENT,680.96,244624.0,243943.04,0.0,0.0,C340149850,M906983781,Access,GT
PAYMENT,4192.45,141582.75,137390.3,0.0,0.0,C2121240346,M300922993,Access,GT
PAYMENT,6865.83,16065.0,9199.17,0.0,0.0,C1560448195,M702530586,Access,GT
PAYMENT,29753.14,99613.0,69859.86,0.0,0.0,C1309130238,M1003264751,Access,GT
TRANSFER,658510.65,0.0,0.0,4160208.26,4818718.91,C683799433,C1489116061,Access,GT
PAYMENT,14962.54,99053.0,84090.46,0.0,0.0,C352220876,M400743766,Access,GT
PAYMENT,8548.76,21358.0,12809.24,0.0,0.0,C211960157,M1530234511,Access,GT
TRANSFER,1958230.6,69563.0,0.0,5345774.9,7304005.5,C2126397003,C1724208100,Access,GT
PAYMENT,7803.55,0.0,0.0,0.0,0.0,C20748083,M1298362179,Access,GT
PAYMENT,22673.48,21910.0,0.0,0.0,0.0,C509952728,M1882783306,Access,GT
PAYMENT,1416.71,188315.86,186899.15,0.0,0.0,C1260935439,M1471767414,Access,GT
PAYMENT,8941.05,160.0,0.0,0.0,0.0,C773163139,M1610300123,Access,GT
PAYMENT,1412.48,10052.0,8639.52,0.0,0.0,C1798880828,M716959429,Access,GT
PAYMENT,15039.71,0.0,0.0,0.0,0.0,C1613457151,M227579288,Access,GT
PAYMENT,10424.44,20809.0,10384.56,0.0,0.0,C280147801,M1295606785,Access,GT
PAYMENT,7328.72,0.0,0.0,0.0,0.0,C871652084,M888843538,Access,GT
PAYMENT,16769.79,15952.0,0.0,0.0,0.0,C1946777947,M1230436756,Access,GT
PAYMENT,7858.1,20773.0,12914.9,0.0,0.0,C1844580132,M563268470,Access,GT
TRANSFER,292037.17,0.0,0.0,953736.46,1245773.64,C1065363833,C1515536749,Access,GT
TRANSFER,63982.69,0.0,0.0,95692.27,159674.96,C303128054,C822214416,Access,GT
PAYMENT,3170.83,49631.0,46460.17,0.0,0.0,C548608193,M1953778756,Access,GT
PAYMENT,10446.68,0.0,0.0,0.0,0.0,C1482458700,M1177905091,Access,GT
TRANSFER,875213.55,0.0,0.0,4309830.28,5185043.84,C1367522019,C136356616,Access,GT
PAYMENT,14459.22,39948.0,25488.78,0.0,0.0,C897923211,M961418448,Access,GT
PAYMENT,4987.09,299610.0,294622.91,0.0,0.0,C105766657,M1313111844,Access,GT
TRANSFER,115712.36,0.0,0.0,1098693.52,1214405.88,C710617656,C280794150,Access,GT
PAYMENT,5220.64,2062.0,0.0,0.0,0.0,C2054628112,M1449664957,Access,GT
PAYMENT,20936.47,7182.0,0.0,0.0,0.0,C1553137068,M1309446387,Access,GT
TRANSFER,268912.48,0.0,0.0,1111399.5,1380311.99,C432147162,C71562765,Access,GT
PAYMENT,245.4,0.0,0.0,0.0,0.0,C640064078,M848116774,Access,GT
TRANSFER,35206.18,0.0,0.0,142763.66,177969.84,C1780541439,C352607904,Access,GT
PAYMENT,13382.29,0.0,0.0,0.0,0.0,C756435736,M2113537778,Access,GT
TRANSFER,518339.83,0.0,0.0,7554201.05,8072540.88,C559078087,C1728460906,Access,GT
TRANSFER,451310.12,54987.0,0.0,974842.68,1797288.53,C604541326,C2146875526,Access,GT
TRANSFER,813462.62,153223.0,0.0,67479.59,880942.21,C40905611,C453039491,Access,GT
PAYMENT,82797.84,31931.0,0.0,0.0,0.0,C1411102270,M8961529,Access,GT
PAYMENT,13763.87,0.0,0.0,0.0,0.0,C1532316610,M1131873222,Access,GT
PAYMENT,13176.51,0.0,0.0,0.0,0.0,C558630256,M1646382835,Access,GT
PAYMENT,58760.91,480859.24,422098.33,0.0,0.0,C805432013,M703071544,Access,GT
DEBIT,1096.42,11227.0,10130.58,1013259.91,1014356.33,C362865724,C533887341,Access,GT
PAYMENT,9296.83,0.0,0.0,0.0,0.0,C820447403,M184735125,Access,GT
PAYMENT,8164.01,0.0,0.0,0.0,0.0,C1405528965,M1933926398,Access,GT
PAYMENT,15068.73,0.0,0.0,0.0,0.0,C1830375097,M1991416,Access,GT
PAYMENT,14298.25,0.0,0.0,0.0,0.0,C1982775599,M1309930156,Access,GT
PAYMENT,12596.61,0.0,0.0,0.0,0.0,C1963550118,M1695671000,Access,GT
PAYMENT,1251.94,0.0,0.0,0.0,0.0,C2146933874,M1527627185,Access,GT
PAYMENT,1068.21,4006.95,2938.74,0.0,0.0,C1480105448,M1374852383,Access,GT
PAYMENT,14511.02,0.0,0.0,0.0,0.0,C236635667,M698251819,Access,GT
PAYMENT,3551.26,843.47,0.0,0.0,0.0,C1828136324,M1662786733,Access,GT
TRANSFER,1331086.47,15432.0,0.0,59949.22,1313362.94,C1982404838,C1210180003,Access,GT
PAYMENT,2901.96,56324.0,53422.04,0.0,0.0,C776180615,M2030050716,Access,GT
PAYMENT,24104.54,0.0,0.0,0.0,0.0,C16708267,M1911445805,Access,GT
TRANSFER,875582.25,94595.97,0.0,9622156.32,10497738.57,C1598042404,C1378537795,Access,GT
PAYMENT,13344.1,7292.0,0.0,0.0,0.0,C400990872,M300081380,Access,GT
PAYMENT,8579.34,20366.0,11786.66,0.0,0.0,C662980180,M317737019,Access,GT
PAYMENT,22434.71,10420.14,0.0,0.0,0.0,C1019120294,M2011269895,Access,GT
TRANSFER,437371.03,0.0,0.0,564026.21,1001397.24,C979315962,C45958213,Access,GT
PAYMENT,7848.71,196040.06,188191.35,0.0,0.0,C1832568799,M1629378206,Access,GT
TRANSFER,327534.3,0.0,0.0,1067390.45,1394924.75,C1936578603,C1514199309,Access,GT
TRANSFER,153990.5,201778.0,47787.5,0.0,153990.5,C1619280891,C1837241611,Access,GT
TRANSFER,935639.61,89771.37,0.0,2037867.29,2973506.9,C1699211236,C1293949664,Access,GT
PAYMENT,12209.45,16901.0,4691.55,0.0,0.0,C1549828854,M1435742536,Access,GT
PAYMENT,5222.23,30296.0,25073.77,0.0,0.0,C2036462106,M2080924806,Access,GT
PAYMENT,29279.51,0.0,0.0,0.0,0.0,C1877480943,M17092044,Access,GT
PAYMENT,206.84,25968.18,25761.34,0.0,0.0,C329671918,M830219798,Access,GT
TRANSFER,68324.55,0.0,0.0,324774.11,393098.67,C1204432983,C1440200379,Access,GT
PAYMENT,14872.25,276972.22,262099.98,0.0,0.0,C1623560754,M1625741812,Access,GT
PAYMENT,25540.34,50002.0,24461.66,0.0,0.0,C1817780317,M1798263689,Access,GT
PAYMENT,336.46,50076.0,49739.54,0.0,0.0,C1512711427,M610095315,Access,GT
PAYMENT,17147.59,12154.0,0.0,0.0,0.0,C827453658,M364965509,Access,GT
PAYMENT,48213.75,5866.0,0.0,0.0,0.0,C1194602188,M897474644,Access,GT
PAYMENT,5718.88,6731.0,1012.12,0.0,0.0,C1576282858,M1072291811,Access,GT
PAYMENT,4962.99,14752.0,9789.01,0.0,0.0,C1589115167,M1768343139,Access,GT
PAYMENT,1854.44,0.0,0.0,0.0,0.0,C1146107700,M1816242792,Access,GT
PAYMENT,5392.12,10831.0,5438.88,0.0,0.0,C1503656322,M1243910048,Access,GT
PAYMENT,17076.51,0.0,0.0,0.0,0.0,C1058293025,M741336750,Access,GT
PAYMENT,34917.61,0.0,0.0,0.0,0.0,C435002653,M1177544744,Access,GT
PAYMENT,38264.08,0.0,0.0,0.0,0.0,C1431131974,M633940431,Access,GT
PAYMENT,23715.07,18776.87,0.0,0.0,0.0,C1935530674,M1967390182,Access,GT
PAYMENT,8360.75,0.0,0.0,0.0,0.0,C1538904718,M750457778,Access,GT
PAYMENT,12460.31,1376.0,0.0,0.0,0.0,C1383263848,M628249863,Access,GT
PAYMENT,16532.0,0.0,0.0,0.0,0.0,C1774537867,M1631103685,Access,GT
PAYMENT,5021.82,64831.0,59809.18,0.0,0.0,C951531132,M853666510,Access,GT
PAYMENT,8452.42,0.0,0.0,0.0,0.0,C1803002069,M643846034,Access,GT
TRANSFER,4126119.93,344527.0,0.0,446963.89,4573083.81,C625476444,C188307334,Access,GT
PAYMENT,40925.8,34424.0,0.0,0.0,0.0,C1255646682,M1929470346,Access,GT
PAYMENT,44871.04,41272.0,0.0,0.0,0.0,C857906147,M1998016541,Access,GT
PAYMENT,10503.54,0.0,0.0,0.0,0.0,C1598086365,M1324449999,Access,GT
PAYMENT,13589.33,0.0,0.0,0.0,0.0,C956148525,M34592661,Access,GT
TRANSFER,97301.71,31239.0,0.0,36857953.61,36955255.33,C1750384848,C939322176,Access,GT
PAYMENT,361.53,0.0,0.0,0.0,0.0,C284456399,M1667812216,Access,GT
PAYMENT,8363.79,21153.0,12789.21,0.0,0.0,C916767038,M1900051947,Access,GT
TRANSFER,62545.94,0.0,0.0,605699.22,668245.16,C988195365,C1027773814,Access,GT
PAYMENT,18492.44,726.0,0.0,0.0,0.0,C215824393,M1145370021,Access,GT
PAYMENT,13755.82,243465.86,229710.04,0.0,0.0,C587377409,M2143644128,Access,GT
PAYMENT,15330.4,747.0,0.0,0.0,0.0,C1047250699,M1901970472,Access,GT
PAYMENT,15785.4,25046.0,9260.6,0.0,0.0,C1665011228,M1247892773,Access,GT
PAYMENT,9432.14,19905.0,10472.86,0.0,0.0,C1014445701,M851408374,Access,GT
PAYMENT,23766.59,111026.0,87259.41,0.0,0.0,C481112045,M1310549886,Access,GT
PAYMENT,59531.1,14089.84,0.0,0.0,0.0,C1842245528,M1397461092,Access,GT
PAYMENT,498.58,0.0,0.0,0.0,0.0,C1596240999,M2000728377,Access,GT
PAYMENT,3645.73,0.0,0.0,0.0,0.0,C499084371,M2038676348,Access,GT
TRANSFER,620587.36,0.0,0.0,1152392.76,1589954.17,C527121410,C1351115755,Access,GT
PAYMENT,1294.83,0.0,0.0,0.0,0.0,C1592315590,M238502720,Access,GT
PAYMENT,1090.53,34815.0,33724.47,0.0,0.0,C1223700231,M280407292,Access,GT
TRANSFER,628302.04,10822.0,0.0,0.0,628302.04,C1548427609,C1039401817,Access,GT
PAYMENT,22568.34,176429.56,153861.22,0.0,0.0,C121673706,M465797053,Access,GT
PAYMENT,1957.81,90.0,0.0,0.0,0.0,C1906253970,M489353970,Access,GT
PAYMENT,8075.25,10041.22,1965.97,0.0,0.0,C1313758558,M962639355,Access,GT
PAYMENT,5929.29,276329.72,270400.42,0.0,0.0,C42312626,M1912998981,Access,GT
PAYMENT,15395.66,0.0,0.0,0.0,0.0,C963189208,M68565807,Access,GT
PAYMENT,258.55,317573.35,317314.8,0.0,0.0,C1362561820,M575205576,Access,GT
PAYMENT,11441.61,47651.0,36209.39,0.0,0.0,C1350030880,M1695213463,Access,GT
PAYMENT,166.91,10093.0,9926.09,0.0,0.0,C1991141405,M2075139564,Access,GT
TRANSFER,492822.46,0.0,0.0,1052295.77,1545118.23,C758975164,C1378233097,Access,GT
PAYMENT,51769.46,10643.0,0.0,0.0,0.0,C904657322,M481468850,Access,GT
PAYMENT,11453.59,0.0,0.0,0.0,0.0,C325311902,M725888020,Access,GT
PAYMENT,12431.61,1934.0,0.0,0.0,0.0,C615984420,M1832370665,Access,GT
PAYMENT,761.48,0.0,0.0,0.0,0.0,C977212251,M1416107091,Access,GT
DEBIT,1523.38,67585.0,66061.62,46850.59,48373.97,C101554713,C710342888,Access,GT
PAYMENT,2541.55,10496.94,7955.39,0.0,0.0,C1564902645,M1895691230,Access,GT
PAYMENT,9698.49,52583.0,42884.51,0.0,0.0,C2070002745,M1411035807,Access,GT
PAYMENT,2706.27,93652.0,90945.73,0.0,0.0,C1332049776,M70000857,Access,GT
PAYMENT,31009.39,0.0,0.0,0.0,0.0,C1975067906,M882272147,Access,GT
PAYMENT,13507.86,116.0,0.0,0.0,0.0,C1873356357,M318934800,Access,GT
PAYMENT,7204.87,0.0,0.0,0.0,0.0,C1492365071,M72606899,Access,GT
PAYMENT,4224.1,39790.0,35565.9,0.0,0.0,C981606624,M537397999,Access,GT
PAYMENT,7925.85,0.0,0.0,0.0,0.0,C1928538947,M8336625,Access,GT
PAYMENT,9118.65,30028.0,20909.35,0.0,0.0,C1327273607,M2111824551,Access,GT
PAYMENT,6638.31,0.0,0.0,0.0,0.0,C1702795050,M320891926,Access,GT
TRANSFER,2028585.1,200879.0,0.0,0.0,2028585.1,C871049945,C402262184,Access,GT
TRANSFER,155304.73,50020.33,0.0,679687.96,834992.69,C1813715779,C1181681250,Access,GT
PAYMENT,582.31,0.0,0.0,0.0,0.0,C1799708023,M1753025523,Access,GT
PAYMENT,10643.61,25546.0,14902.39,0.0,0.0,C1425980682,M782997951,Access,GT
TRANSFER,242746.5,50375.0,0.0,24080.97,266827.47,C1459471804,C1262011052,Access,GT
PAYMENT,12467.43,50205.0,37737.57,0.0,0.0,C1804644264,M703180768,Access,GT
PAYMENT,30729.3,28969.0,0.0,0.0,0.0,C581092628,M727473563,Access,GT
PAYMENT,11600.89,11486.0,0.0,0.0,0.0,C1033179241,M741223780,Access,GT
PAYMENT,10692.93,0.0,0.0,0.0,0.0,C1354365880,M1241484709,Access,GT
PAYMENT,59782.45,163328.0,103545.55,0.0,0.0,C1994740718,M414554241,Access,GT
PAYMENT,10452.21,167.0,0.0,0.0,0.0,C1159397263,M1048655542,Access,GT
PAYMENT,32724.57,0.0,0.0,0.0,0.0,C41281472,M20923479,Access,GT
PAYMENT,614.61,0.0,0.0,0.0,0.0,C654007684,M944416080,Access,GT
PAYMENT,6345.94,32780.0,26434.06,0.0,0.0,C687205356,M1728022128,Access,GT
TRANSFER,273503.4,0.0,0.0,344044.52,617547.92,C362808071,C1047773674,Access,GT
PAYMENT,2588.54,41547.0,38958.46,0.0,0.0,C1173615080,M531725823,Access,GT
PAYMENT,3873.38,67229.66,63356.27,0.0,0.0,C1976238602,M510682926,Access,GT
PAYMENT,36862.87,341.0,0.0,0.0,0.0,C1607635931,M979933234,Access,GT
PAYMENT,6905.63,20286.0,13380.37,0.0,0.0,C498744194,M877647877,Access,GT
PAYMENT,8965.3,11638.0,2672.7,0.0,0.0,C343462036,M790244937,Access,GT
PAYMENT,1878.78,104647.0,102768.22,0.0,0.0,C347970069,M722510812,Access,GT
PAYMENT,6181.42,37496.0,31314.58,0.0,0.0,C567856792,M895431242,Access,GT
PAYMENT,22663.99,328.0,0.0,0.0,0.0,C1438120296,M813735378,Access,GT
PAYMENT,1432.93,115839.0,114406.07,0.0,0.0,C1367953979,M324342131,Access,GT
TRANSFER,1130873.56,30423.0,0.0,512932.96,1558198.79,C713164662,C1283374857,Access,GT
PAYMENT,1356.14,0.0,0.0,0.0,0.0,C585438732,M684850051,Access,GT
PAYMENT,36418.46,0.0,0.0,0.0,0.0,C1398270489,M4347320,Access,GT
TRANSFER,62846.46,11581.0,0.0,316433.99,379280.45,C2140826890,C1069968715,Access,GT
TRANSFER,840454.1,0.0,0.0,860972.32,1701426.43,C1891624473,C1601205723,Access,GT
PAYMENT,20751.36,253411.0,232659.64,0.0,0.0,C1909470620,M1682408611,Access,GT
TRANSFER,2120611.12,0.0,0.0,6450489.1,8571100.23,C1459123422,C549139955,Access,GT
PAYMENT,9031.59,169913.0,160881.41,0.0,0.0,C788347695,M818025487,Access,GT
TRANSFER,284181.35,18831.35,0.0,712461.52,996642.87,C1572564959,C369284896,Access,GT
PAYMENT,5151.1,0.0,0.0,0.0,0.0,C1634722951,M736920118,Access,GT
TRANSFER,4953893.08,4953893.08,4953893.08,0.0,0.0,C728984460,C639921569,Access,GT
PAYMENT,8881.23,52552.0,43670.77,0.0,0.0,C1466302771,M1484695868,Access,GT
TRANSFER,369241.59,0.0,0.0,600144.07,969385.66,C70208605,C2009093032,Access,GT
TRANSFER,1067740.33,30318.0,0.0,706171.21,1773911.54,C875553654,C1190332895,Access,GT
PAYMENT,13573.44,8030.95,0.0,0.0,0.0,C1958989962,M1458926839,Access,GT
PAYMENT,3427.74,79271.0,75843.26,0.0,0.0,C299881200,M166585974,Access,GT
PAYMENT,11116.3,100283.0,89166.7,0.0,0.0,C182949497,M264879465,Access,GT
PAYMENT,8647.59,0.0,0.0,0.0,0.0,C76280739,M731968202,Access,GT
PAYMENT,4218.59,0.0,0.0,0.0,0.0,C916536135,M479987559,Access,GT
PAYMENT,9341.45,356011.4,346669.95,0.0,0.0,C1533282587,M1902361050,Access,GT
PAYMENT,11314.01,4954.0,0.0,0.0,0.0,C1485400045,M1780037453,Access,GT
PAYMENT,28867.08,489432.62,460565.54,0.0,0.0,C1863138315,M122928567,Access,GT
PAYMENT,4001.69,0.0,0.0,0.0,0.0,C1505174831,M889368019,Access,GT
PAYMENT,1313.84,687.0,0.0,0.0,0.0,C1371482499,M677096722,Access,GT
PAYMENT,70.43,179729.21,179658.77,0.0,0.0,C661691277,M1056990134,Access,GT
PAYMENT,11375.07,27674.97,16299.89,0.0,0.0,C894234207,M2014963892,Access,GT
PAYMENT,15561.04,0.0,0.0,0.0,0.0,C671179936,M1341078498,Access,GT
PAYMENT,869.3,50636.0,49766.7,0.0,0.0,C1896972824,M142342905,Access,GT
TRANSFER,483817.09,0.0,0.0,3613174.34,4096991.43,C523286269,C2009082452,Access,GT
PAYMENT,16087.23,0.0,0.0,0.0,0.0,C1160035148,M341944859,Access,GT
PAYMENT,1850.67,21308.0,19457.33,0.0,0.0,C534811552,M1542222765,Access,GT
PAYMENT,6055.38,169580.0,163524.62,0.0,0.0,C270984175,M1348089788,Access,GT
TRANSFER,425051.28,9674.0,0.0,594186.02,1019237.31,C350778798,C315161875,Access,GT
PAYMENT,27683.67,0.0,0.0,0.0,0.0,C1062669905,M601174739,Access,GT
PAYMENT,13095.09,21452.0,8356.91,0.0,0.0,C1937977255,M1016860656,Access,GT
PAYMENT,35855.04,198804.0,162948.96,0.0,0.0,C184978226,M1901773897,Access,GT
PAYMENT,23661.48,0.0,0.0,0.0,0.0,C1268926862,M1726028995,Access,GT
TRANSFER,440777.12,69844.0,0.0,330515.95,771293.08,C1642074775,C1200754697,Access,GT
PAYMENT,8342.03,305000.28,296658.26,0.0,0.0,C1445108729,M304191532,Access,GT
PAYMENT,36155.19,0.0,0.0,0.0,0.0,C1292696100,M1512096412,Access,GT
PAYMENT,7473.63,0.0,0.0,0.0,0.0,C1625306007,M1853307520,Access,GT
PAYMENT,12355.58,0.0,0.0,0.0,0.0,C1674220591,M2032504797,Access,GT
PAYMENT,14868.76,0.0,0.0,0.0,0.0,C1805204516,M1449288962,Access,GT
PAYMENT,7456.1,21686.0,14229.9,0.0,0.0,C1901405112,M1327733366,Access,GT
TRANSFER,1592411.94,35584.0,0.0,1992294.28,3584706.22,C1932307302,C946186798,Access,GT
PAYMENT,1873.41,788346.41,786473.0,0.0,0.0,C1124340886,M195635213,Access,GT
PAYMENT,2612.71,52527.0,49914.29,0.0,0.0,C395334853,M847653440,Access,GT
PAYMENT,4786.4,0.0,0.0,0.0,0.0,C1871486543,M76826899,Access,GT
PAYMENT,7033.48,1633.0,0.0,0.0,0.0,C511079042,M33416945,Access,GT
PAYMENT,2880.96,76961.3,74080.34,0.0,0.0,C492145062,M1974943259,Access,GT
TRANSFER,772296.58,0.0,0.0,2077733.67,2850030.25,C1641518900,C620902860,Access,GT
PAYMENT,27302.87,0.0,0.0,0.0,0.0,C1448383087,M1468475221,Access,GT
PAYMENT,4850.59,225172.0,220321.41,0.0,0.0,C401849338,M1552518432,Access,GT
PAYMENT,19240.1,0.0,0.0,0.0,0.0,C1752155530,M260804472,Access,GT
PAYMENT,5183.37,15603.39,10420.02,0.0,0.0,C1652492723,M2110507332,Access,GT
PAYMENT,9574.23,729389.0,719814.77,0.0,0.0,C812087967,M1525865742,Access,GT
TRANSFER,323378.71,0.0,0.0,501739.31,825118.03,C1453638924,C541258645,Access,GT
PAYMENT,6817.78,47190.0,40372.22,0.0,0.0,C788384452,M1794508515,Access,GT
PAYMENT,3905.28,68678.0,64772.72,0.0,0.0,C313716075,M284183932,Access,GT
PAYMENT,19.39,15848.0,15828.61,0.0,0.0,C145038503,M436090088,Access,GT
PAYMENT,11300.35,74593.0,63292.65,0.0,0.0,C511771034,M309983713,Access,GT
PAYMENT,4007.87,0.0,0.0,0.0,0.0,C1300892613,M513329048,Access,GT
PAYMENT,38293.5,0.0,0.0,0.0,0.0,C1269632250,M55629029,Access,GT
PAYMENT,18857.05,41038.93,22181.88,0.0,0.0,C1251364898,M506254328,Access,GT
TRANSFER,748775.62,0.0,0.0,1179856.92,1928632.54,C121817565,C1126814500,Access,GT
PAYMENT,6202.7,0.0,0.0,0.0,0.0,C196248895,M980968102,Access,GT
PAYMENT,62387.08,175800.08,113413.0,0.0,0.0,C1020073805,M1697723026,Access,GT
PAYMENT,706.61,743.0,36.39,0.0,0.0,C515240582,M1840316250,Access,GT
PAYMENT,18482.64,31031.45,12548.81,0.0,0.0,C1788614688,M1919208957,Access,GT
PAYMENT,3101.25,30174.0,27072.75,0.0,0.0,C1834494460,M341475077,Access,GT
PAYMENT,37228.77,0.0,0.0,0.0,0.0,C445652269,M921297051,Access,GT
PAYMENT,8717.41,0.0,0.0,0.0,0.0,C903082377,M197479812,Access,GT
PAYMENT,2629.58,284256.96,281627.39,0.0,0.0,C1294900585,M302528498,Access,GT
PAYMENT,10968.61,305647.0,294678.39,0.0,0.0,C167833503,M1629240136,Access,GT
PAYMENT,21527.33,263309.0,241781.67,0.0,0.0,C59366354,M1254241532,Access,GT
PAYMENT,661.74,0.0,0.0,0.0,0.0,C1087394387,M614412510,Access,GT
PAYMENT,3393.98,600120.0,596726.02,0.0,0.0,C200496008,M582886129,Access,GT
TRANSFER,491753.69,0.0,0.0,741949.97,1233703.66,C50169804,C387620559,Access,GT
PAYMENT,8519.1,208.43,0.0,0.0,0.0,C688981659,M1251497592,Access,GT
TRANSFER,1133029.24,281.0,0.0,308085.64,1441114.88,C665779203,C1142488685,Access,GT
PAYMENT,20498.36,138553.0,118054.64,0.0,0.0,C1191553018,M358490766,Access,GT
PAYMENT,55134.86,0.0,0.0,0.0,0.0,C41511043,M120528091,Access,GT
PAYMENT,10476.43,62955.0,52478.57,0.0,0.0,C19697526,M1875174082,Access,GT
PAYMENT,18530.85,29882.0,11351.15,0.0,0.0,C67394878,M1947352977,Access,GT
PAYMENT,23469.11,70111.0,46641.89,0.0,0.0,C668120831,M1586976811,Access,GT
